2,1,657.618,280.743
2,2,257.793,258.77
2,3,283.03,266.818
3,4,655.792,283.473
3,5,263.243,257.259
3,6,288.271,268.553
4,7,627.743,281.94
4,8,268.086,250.419
4,9,293.11,250.025
4,10,503.104,211.581
5,11,612.341,287.141
5,12,302.191,240.653
6,13,604.514,285.807
6,14,310.267,240.652
7,15,600.624,272.871
7,16,317.222,243.444
8,17,593.222,266.562
8,18,318.34,269.108
8,19,489.759,195.998
9,20,580.277,287.072
9,21,321.135,233.891
9,22,485.442,197.636
10,23,762.673,395.015
10,24,567.411,288.882
10,25,326.693,249.337
10,26,479.698,187.074
11,27,759.882,363.924
11,28,561.709,288.298
11,29,480.357,236.29
11,30,336.532,248.969
11,31,473.566,204.936
12,32,752.26,350.113
12,33,554.016,278.492
12,34,340.404,250.927
12,35,474.667,191.333
12,36,475.26,210.304
13,23,760,367.667
13,23,759.171,351.645
13,27,748.119,327.356
13,20,537.425,285.616
13,12,344.055,237.278
14,27,745.551,343.323
14,24,522.875,287.133
14,14,352.298,233.76
14,19,462.699,211.462
15,27,738.061,343.528
15,24,519.559,283.513
15,18,358.837,241.443
15,19,455,207.333
15,19,461.678,199.48
15,19,453.333,193.667
16,27,735.629,331.71
16,33,507.829,285.228
16,18,361.873,242.572
16,19,457.602,217.881
17,27,732.493,312.12
17,20,497.173,285.147
17,18,364.157,241.429
17,19,449.289,198.433
18,23,711.516,360.794
18,27,726.264,308.952
18,24,487.12,287.952
18,25,372.32,233.362
18,22,444.513,206.667
19,27,716.388,327.352
19,24,476.906,283.518
19,25,374.343,231.558
20,27,714.463,332.555
20,33,468.409,278.239
20,30,379.644,235.605
21,27,739.988,292.187
21,32,703.204,330.051
21,20,455.133,283.51
21,34,385.949,235.437
22,23,677.53,335.219
22,27,734.673,284.679
22,27,702.793,313.798
22,20,450.606,278.342
22,12,388.118,238.887
23,27,690.831,317.914
23,27,729.907,282.305
23,24,444.99,276.343
23,14,386.342,225.11
